Name,Rarity,Class,Type,Global release,Japan release,Global EZA release,Japan EZA release,Global EZA,Japan EZA,HP 55%,ATK 55%,DEF 55%,HP 100%,ATK 100%,DEF 100%,HP 55% EZA,ATK 55% EZA,DEF 55% EZA,HP 100% EZA,ATK 100% EZA,DEF 100% EZA,Categories,ID,Url
Creeping Conspiracy Yamu & Spopovich,UR,Extreme,AGL,2020-05-08,2019-12-26,2021-08-10,2021-04-01,Yes,Yes,8959,9279,4278,10519,11079,6318,11576,12004,5316,13136,13804,7356,"World Tournament, Majin Buu Saga, Joined Forces, Terrifying Conquerors, Earthlings, Corroded Body and Mind, Earth-Bred Fighters",11870,https://dbz-dokkanbattle.fandom.com/wiki/Creeping_Conspiracy_Yamu_%26_Spopovich
Cruel Pursuit Nappa,UR,Extreme,STR,2022-08-09,2022-04-01,na,na,No,No,9426,11251,7503,12426,14651,10103,na,na,na,na,na,na,"Pure Saiyans, Terrifying Conquerors, Space-Traveling Warriors, Saiyan Saga",12408,https://dbz-dokkanbattle.fandom.com/wiki/Cruel_Pursuit_Nappa
Culmination of Hope Goku (GT),UR,Super,INT,2019-07-29,2019-02-21,2019-07-29,2019-02-21,Yes,Yes,7224,7962,4309,9024,9762,6109,9256,10243,5357,11056,12043,7157,"Shadow Dragon Saga, Pure Saiyans, Goku's Family, Final Trump Card, Connected Hope, Turtle School, GT Heroes, Bond of Friendship, Accelerated Battle, Battle of Fate, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",11658,https://dbz-dokkanbattle.fandom.com/wiki/Culmination_of_Hope_Goku_(GT)
Cunning Counterattack Bergamo (Giant Form),UR,Extreme,PHY,2019-12-09,2020-04-01,na,na,No,No,10321,10631,8198,13721,13631,10798,na,na,na,na,na,na,"Universe Survival Saga, Giant Form, Siblings' Bond",11880,https://dbz-dokkanbattle.fandom.com/wiki/Cunning_Counterattack_Bergamo_(Giant_Form)
Cutting off the Path of Retreat Daiz & Cacao,UR,Extreme,AGL,na,2023-05-31,na,na,No,No,13528,9811,7244,16128,12811,10644,na,na,na,na,na,na,"Joined Forces, Terrifying Conquerors, Space-Traveling Warriors, Planetary Destruction",12679,https://dbz-dokkanbattle.fandom.com/wiki/Cutting_off_the_Path_of_Retreat_Daiz_%26_Cacao
Cyan Juggernaut Super Saiyan God SS Goku,UR,Super,TEQ,2016-12-21,2016-08-10,2021-03-09,2020-12-08,Yes,Yes,11572,9923,6025,14172,13323,9025,15030,12699,7474,17630,16099,10474,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Kamehameha (Category), Bond of Master and Disciple, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",1862,https://dbz-dokkanbattle.fandom.com/wiki/Cyan_Juggernaut_Super_Saiyan_God_SS_Goku
Daily Training Goku,UR,Super,TEQ,2018-05-25,2017-12-19,na,na,No,No,9763,12088,6822,12363,15488,9822,na,na,na,na,na,na,"Pure Saiyans, Goku's Family, Kamehameha (Category), Turtle School, Bond of Friendship, Accelerated Battle, Bond of Parent and Child, Earth-Bred Fighters",1784,https://dbz-dokkanbattle.fandom.com/wiki/Daily_Training_Goku
Daring Planetary Invasion Vegeta (Kid) & Raditz (Kid),UR,Extreme,AGL,2020-07-20,2020-02-10,2020-07-20,2020-02-10,Yes,Yes,7598,8454,4457,9998,10854,6857,9621,10766,5421,12021,13166,7821,"Pure Saiyans, Joined Forces, Youth, Terrifying Conquerors, Space-Traveling Warriors",11895,https://dbz-dokkanbattle.fandom.com/wiki/Daring_Planetary_Invasion_Vegeta_(Kid)_%26_Raditz_(Kid)
Dark Intentions Masked Saiyan,UR,Extreme,TEQ,2017-10-12,2017-03-17,2021-02-09,2020-11-05,Yes,Yes,12095,11548,6143,14695,14948,9143,15296,14575,7457,17896,17975,10457,"Pure Saiyans, Time Travelers, Goku's Family, Crossover, Corroded Body and Mind, Storied Figures",11029,https://dbz-dokkanbattle.fandom.com/wiki/Dark_Intentions_Masked_Saiyan
Dark Menace Goku Black,UR,Extreme,PHY,2019-11-25,2017-03-20,na,na,No,No,12550,11800,6525,15950,14800,9125,15995,15091,7960,19395,18091,10560,"Realm of Gods, Potara, Future Saga, Time Travelers, Kamehameha (Category), Inhuman Deeds, Corroded Body and Mind, Worldwide Chaos, Power of Wishes",1885,https://dbz-dokkanbattle.fandom.com/wiki/Dark_Menace_Goku_Black
Dastardly Last Resort Golden Frieza & Sorbet,UR,Extreme,TEQ,2021-01-04,2020-10-05,2023-01-16,2022-06-21,Yes,Yes,9077,8612,5803,10637,10652,7603,11745,11123,7363,13305,13163,9163,"Joined Forces, Terrifying Conquerors, Final Trump Card, Battle of Wits, Power of Wishes",12108,https://dbz-dokkanbattle.fandom.com/wiki/Dastardly_Last_Resort_Golden_Frieza_%26_Sorbet
Death Match for World Domination Piccolo Jr. (Giant Form),UR,Extreme,INT,2023-04-28,2023-04-28,na,na,No,No,13850,12820,10425,16850,15820,13425,na,na,na,na,na,na,"World Tournament, Giant Form, Namekians, Terrifying Conquerors, Target: Goku, Final Trump Card, Revenge, Gifted Warriors, Entrusted Will, Worldwide Chaos, Battle of Fate, Earth-Bred Fighters",12656,https://dbz-dokkanbattle.fandom.com/wiki/Death_Match_for_World_Domination_Piccolo_Jr._(Giant_Form)
Decisive Kamehameha Super Saiyan God SS Goku,UR,Super,PHY,2019-12-09,2020-04-01,na,na,No,No,12366,10877,6606,15766,13877,9206,na,na,na,na,na,na,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Kamehameha (Category), Bond of Master and Disciple, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11874,https://dbz-dokkanbattle.fandom.com/wiki/Decisive_Kamehameha_Super_Saiyan_God_SS_Goku
Deeply Engraved Strength Goku Black,UR,Extreme,AGL,2022-11-28,2022-06-30,na,na,No,No,11171,11005,6938,13771,14005,10338,na,na,na,na,na,na,"Realm of Gods, Potara, Future Saga, Time Travelers, Inhuman Deeds, Corroded Body and Mind, Worldwide Chaos, Power of Wishes",12460,https://dbz-dokkanbattle.fandom.com/wiki/Deeply_Engraved_Strength_Goku_Black
Definite Path Vados,UR,Super,AGL,2019-12-09,2019-04-01,na,na,No,No,9660,8563,4823,11220,10363,6863,na,na,na,na,na,na,"Realm of Gods, Universe 6, Siblings' Bond, Bond of Master and Disciple, Space-Traveling Warriors",11704,https://dbz-dokkanbattle.fandom.com/wiki/Definite_Path_Vados
Definitive Strength Super Saiyan God SS Vegeta,UR,Super,TEQ,2019-12-09,2020-04-01,na,na,No,No,12159,10298,7433,14759,13698,10433,na,na,na,na,na,na,"Realm of Gods, Pure Saiyans, Movie Heroes, Vegeta's Family, Siblings' Bond, Worthy Rivals, Bond of Master and Disciple, Gifted Warriors, Mastered Evolution, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child",11879,https://dbz-dokkanbattle.fandom.com/wiki/Definitive_Strength_Super_Saiyan_God_SS_Vegeta
Demon King's Vengeance Piccolo Jr. (Giant Form),UR,Extreme,STR,2018-11-09,2018-04-06,na,na,No,No,11783,9258,4996,13583,11298,6556,na,na,na,na,na,na,"World Tournament, Giant Form, Namekians, Terrifying Conquerors, Target: Goku, Revenge, Gifted Warriors, Entrusted Will, Worldwide Chaos, Battle of Fate, Earth-Bred Fighters",11312,https://dbz-dokkanbattle.fandom.com/wiki/Demon_King%27s_Vengeance_Piccolo_Jr._(Giant_Form)
Demon of Destruction and Vengeance Super Garlic Jr.,UR,Extreme,INT,2021-10-06,2021-05-31,na,na,No,No,11475,9811,8271,14475,12811,11271,na,na,na,na,na,na,"Resurrected Warriors, Transformation Boost, Dragon Ball Seekers, Time Travelers, Terrifying Conquerors, Revenge, Heavenly Events, Entrusted Will, Power of Wishes",12206,https://dbz-dokkanbattle.fandom.com/wiki/Demon_of_Destruction_and_Vengeance_Super_Garlic_Jr.
Demonic Fighter of Steel Metal Cooler (AGL),UR,Extreme,AGL,2022-09-09,2022-09-09,2022-09-22,2022-09-22,Yes,Yes,8569,8750,5135,10129,10550,7175,11054,11297,6462,12614,13097,8502,"Resurrected Warriors, Movie Bosses, Wicked Bloodline, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Revenge, Corroded Body and Mind, Accelerated Battle",12516,https://dbz-dokkanbattle.fandom.com/wiki/Demonic_Fighter_of_Steel_Metal_Cooler_(AGL)
Demonic Fighter of Steel Metal Cooler (INT),UR,Extreme,INT,2022-09-09,2022-09-09,2022-09-22,2022-09-22,Yes,Yes,8024,8407,5836,9824,10207,7636,10326,10838,7400,12126,12638,9200,"Resurrected Warriors, Movie Bosses, Wicked Bloodline, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Revenge, Corroded Body and Mind, Accelerated Battle",12518,https://dbz-dokkanbattle.fandom.com/wiki/Demonic_Fighter_of_Steel_Metal_Cooler_(INT)
Demonic Fighter of Steel Metal Cooler (PHY),UR,Extreme,PHY,2022-09-09,2022-09-09,2022-09-22,2022-09-22,Yes,Yes,8959,8687,5018,10999,10487,6578,11576,11212,6306,13616,13012,7866,"Resurrected Warriors, Movie Bosses, Wicked Bloodline, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Revenge, Corroded Body and Mind, Accelerated Battle",12520,https://dbz-dokkanbattle.fandom.com/wiki/Demonic_Fighter_of_Steel_Metal_Cooler_(PHY)
Demonic Fighter of Steel Metal Cooler (STR),UR,Extreme,STR,2022-09-09,2022-09-09,2022-09-22,2022-09-22,Yes,Yes,8024,8750,5407,9824,10790,6967,10326,11297,6826,12126,13337,8386,"Resurrected Warriors, Movie Bosses, Wicked Bloodline, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Revenge, Corroded Body and Mind, Accelerated Battle",12519,https://dbz-dokkanbattle.fandom.com/wiki/Demonic_Fighter_of_Steel_Metal_Cooler_(STR)
Demonic Fighter of Steel Metal Cooler (TEQ),UR,Extreme,TEQ,2022-09-09,2022-09-09,2022-09-22,2022-09-22,Yes,Yes,8024,8189,6108,9584,10229,7908,10326,10547,7763,11886,12587,9563,"Resurrected Warriors, Movie Bosses, Wicked Bloodline, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Revenge, Corroded Body and Mind, Accelerated Battle",12517,https://dbz-dokkanbattle.fandom.com/wiki/Demonic_Fighter_of_Steel_Metal_Cooler_(TEQ)
Demonstration of True Strength Frost (Full Power),UR,Extreme,STR,2018-12-24,2019-04-01,na,na,No,No,9143,11244,6146,12143,14644,8746,na,na,na,na,na,na,"Universe Survival Saga, Full Power, Universe 6, Transformation Boost",11579,https://dbz-dokkanbattle.fandom.com/wiki/Demonstration_of_True_Strength_Frost_(Full_Power)
Desire for New Fights Trunks (Teen) & Goten (Teen),UR,Super,STR,2022-12-28,2022-12-28,na,na,No,No,10962,10756,7347,13962,14156,9947,na,na,na,na,na,na,"Fusion, Hybrid Saiyans, Joined Forces, Movie Heroes, Siblings' Bond, Time Limit, Bond of Friendship, Battle of Fate, Fused Fighters, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes",12607,https://dbz-dokkanbattle.fandom.com/wiki/Desire_for_New_Fights_Trunks_(Teen)_%26_Goten_(Teen)
Desperate Showdown Super Saiyan 2 Goku (Angel),UR,Super,AGL,2019-07-09,2019-01-30,2020-05-15,2020-01-14,Yes,Yes,10987,10810,6404,13587,13810,9804,14018,13782,7889,16618,16782,11289,"Majin Buu Saga, Resurrected Warriors, Pure Saiyans, Goku's Family, Otherworld Warriors, Super Saiyan 2, Turtle School, Time Limit, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11589,https://dbz-dokkanbattle.fandom.com/wiki/Desperate_Showdown_Super_Saiyan_2_Goku_(Angel)
Destruction Descending Buu (Super),UR,Extreme,TEQ,2017-09-25,2017-04-17,2022-04-14,2022-01-06,Yes,Yes,11057,10447,6448,13657,13847,9448,14124,13307,7954,16724,16707,10954,"Majin Buu Saga, Transformation Boost, Artificial Life Forms, Majin Power, Power Absorption, Heavenly Events, Sworn Enemies, Worldwide Chaos",11083,https://dbz-dokkanbattle.fandom.com/wiki/Destruction_Descending_Buu_(Super)
Destructive Android Android 18 (Future),UR,Extreme,STR,2020-02-03,2019-10-03,2022-03-01,2021-10-26,Yes,Yes,10049,7784,5602,11849,9824,7162,13034,10004,7087,14834,12044,8647,"Peppy Gals, Future Saga, Androids, Siblings' Bond, Androids-Cell Saga, Worldwide Chaos",11795,https://dbz-dokkanbattle.fandom.com/wiki/Destructive_Android_Android_18_(Future)
Determined Love Chi-Chi,UR,Super,PHY,2021-07-02,2020-10-23,na,na,No,No,9422,9071,6635,11462,10871,8195,na,na,na,na,na,na,"Peppy Gals, World Tournament, Goku's Family, Earthlings, Bond of Parent and Child, Earth-Bred Fighters",11993,https://dbz-dokkanbattle.fandom.com/wiki/Determined_Love_Chi-Chi
Determined to Evolve Super Saiyan God SS Vegeta,UR,Super,AGL,2017-05-08,2017-01-13,2023-01-09,2022-06-21,Yes,Yes,10016,10344,6910,12616,13344,10310,12557,12989,8467,15157,15989,11867,"Realm of Gods, Pure Saiyans, Movie Heroes, Vegeta's Family, Siblings' Bond, Worthy Rivals, Bond of Master and Disciple, Gifted Warriors, Mastered Evolution, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child",1972,https://dbz-dokkanbattle.fandom.com/wiki/Determined_to_Evolve_Super_Saiyan_God_SS_Vegeta
Determined to Fight Goku (Kaioken),UR,Super,PHY,2018-08-31,2018-08-31,na,na,No,No,9513,10948,6331,12913,13948,8931,na,na,na,na,na,na,"Planet Namek Saga, Pure Saiyans, Full Power, Goku's Family, Kamehameha (Category), Final Trump Card, All-Out Struggle, Saviors, Turtle School, Powerful Comeback, Bond of Friendship, Accelerated Battle, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters",11437,https://dbz-dokkanbattle.fandom.com/wiki/Determined_to_Fight_Goku_(Kaioken)
Devastating Fighting Spirit of God Super Saiyan God Vegeta,UR,Super,STR,2019-02-13,2018-12-26,2022-07-19,2022-02-10,Yes,Yes,9421,10614,6794,12421,14014,9394,11924,13519,8411,14924,16919,11011,"Realm of Gods, Pure Saiyans, Movie Heroes, Vegeta's Family, Siblings' Bond, Worthy Rivals, Bond of Master and Disciple, Gifted Warriors, Power Beyond Super Saiyan, Bond of Parent and Child, Super Heroes",11605,https://dbz-dokkanbattle.fandom.com/wiki/Devastating_Fighting_Spirit_of_God_Super_Saiyan_God_Vegeta
Devastating Fusion Power Super Saiyan Gotenks,UR,Super,PHY,2017-07-07,2017-01-29,2020-02-10,2019-10-15,Yes,Yes,10947,10120,6724,14347,13120,9324,13784,12695,8222,17184,15695,10822,"Fusion, Hybrid Saiyans, Majin Buu Saga, Youth, Super Saiyans, Special Pose, Rapid Growth, Connected Hope, Gifted Warriors, Heavenly Events, Time Limit, Entrusted Will, Fused Fighters, Earth-Bred Fighters",1986,https://dbz-dokkanbattle.fandom.com/wiki/Devastating_Fusion_Power_Super_Saiyan_Gotenks
Devastating Power Arale Norimaki,UR,Super,STR,2017-05-11,2016-11-01,na,na,No,No,10286,10573,6301,13286,13973,8901,na,na,na,na,na,na,"Artificial Life Forms, Youth, DB Saga, Crossover",1898,https://dbz-dokkanbattle.fandom.com/wiki/Devastating_Power_Arale_Norimaki
Devastating Punishment Beerus,UR,Super,TEQ,2016-10-17,2016-05-31,2019-04-10,2018-11-06,Yes,Yes,11522,11750,6585,15162,16510,10785,14122,14463,7299,17762,19223,11499,"Realm of Gods, Movie Bosses, Siblings' Bond, Worthy Rivals, Bond of Master and Disciple, Exploding Rage, Space-Traveling Warriors, Planetary Destruction, Legendary Existence, Battle of Fate",1530,https://dbz-dokkanbattle.fandom.com/wiki/Devastating_Punishment_Beerus
Diabolical Strike Nappa,UR,Extreme,PHY,2017-10-30,2017-08-10,2023-02-08,2022-10-11,Yes,Yes,10864,8780,6052,12904,10580,7612,14124,11337,7689,16164,13137,9249,"Pure Saiyans, Terrifying Conquerors, Space-Traveling Warriors, Saiyan Saga",11096,https://dbz-dokkanbattle.fandom.com/wiki/Diabolical_Strike_Nappa
Dignity of a Clan King Cold,UR,Extreme,PHY,2022-11-04,2022-06-17,2022-11-04,2022-06-17,Yes,Yes,12786,9223,4887,14826,11023,6447,16694,11929,6131,18734,13729,7691,"Wicked Bloodline, Androids-Cell Saga, Terrifying Conquerors, Target: Goku",12404,https://dbz-dokkanbattle.fandom.com/wiki/Dignity_of_a_Clan_King_Cold
Dimension-Breaking Roar Buu (Super),UR,Extreme,PHY,2020-08-21,2020-06-09,na,na,No,No,13888,10765,7350,17288,13765,9950,na,na,na,na,na,na,"Majin Buu Saga, Transformation Boost, Artificial Life Forms, Majin Power, Power Absorption, Heavenly Events, Sworn Enemies, Worldwide Chaos",11525,https://dbz-dokkanbattle.fandom.com/wiki/Dimension-Breaking_Roar_Buu_(Super)
Dispersion of Evil Cell Jr.,UR,Extreme,AGL,2019-08-29,2019-08-29,na,na,No,No,11578,10674,7142,14178,13674,10542,na,na,na,na,na,na,"Androids, Artificial Life Forms, Androids-Cell Saga",11757,https://dbz-dokkanbattle.fandom.com/wiki/Dispersion_of_Evil_Cell_Jr.
Divine Combat Begins Super Saiyan God SS Goku/Super Saiyan God SS Vegeta,UR,Super,INT,2022-11-04,2022-05-31,na,na,No,No,15220,12460,9440,18220,15460,12440,na,na,na,na,na,na,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Bond of Master and Disciple, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",12444,https://dbz-dokkanbattle.fandom.com/wiki/Divine_Combat_Begins_Super_Saiyan_God_SS_Goku/Super_Saiyan_God_SS_Vegeta
Divine Power Within Super Saiyan God Goku,UR,Super,STR,2018-05-15,2018-03-18,2023-03-23,2023-03-23,Yes,Yes,12997,10344,5420,15997,13744,8020,16706,13158,6574,19706,16558,9174,"Realm of Gods, Pure Saiyans, Movie Heroes, Goku's Family, Turtle School, Miraculous Awakening, Legendary Existence, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",11360,https://dbz-dokkanbattle.fandom.com/wiki/Divine_Power_Within_Super_Saiyan_God_Goku
Divine Warrior Who Protects Space and Time Super Saiyan God Trunks (Xeno),UR,Super,TEQ,2021-11-25,2021-11-25,na,na,No,No,11373,11864,5756,13973,15264,8756,na,na,na,na,na,na,"Hybrid Saiyans, Realm of Gods, Time Travelers, Vegeta's Family, Bond of Master and Disciple, Dragon Ball Heroes, Battle of Wits, Crossover, Defenders of Justice, Legendary Existence, Miraculous Awakening, Entrusted Will, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",12324,https://dbz-dokkanbattle.fandom.com/wiki/Divine_Warrior_Who_Protects_Space_and_Time_Super_Saiyan_God_Trunks_(Xeno)
Dominance Through Destruction Champa,UR,Extreme,PHY,2018-12-24,2019-04-01,na,na,No,No,12001,9767,6826,15401,12767,9426,na,na,na,na,na,na,"Realm of Gods, Dragon Ball Seekers, Universe 6, Siblings' Bond, Bond of Master and Disciple, Space-Traveling Warriors, Planetary Destruction",11584,https://dbz-dokkanbattle.fandom.com/wiki/Dominance_Through_Destruction_Champa
Domination through Power Frost (Final Form),UR,Extreme,TEQ,2023-08-11,2023-04-01,na,na,No,No,10243,10838,7604,12843,14238,10604,na,na,na,na,na,na,"Universe Survival Saga, Transformation Boost, Universe 6",12651,https://dbz-dokkanbattle.fandom.com/wiki/Domination_through_Power_Frost_(Final_Form)
Domineering Victory Declaration Jackie Chun,UR,Super,INT,2018-06-22,2017-09-22,na,na,No,No,8750,8508,6415,10550,10308,8215,na,na,na,na,na,na,"World Tournament, DB Saga, Earthlings, Battle of Wits, Planetary Destruction, Accelerated Battle, Earth-Bred Fighters",11121,https://dbz-dokkanbattle.fandom.com/wiki/Domineering_Victory_Declaration_Jackie_Chun
Dreadful Super Fusion Super Saiyan 2 Kefla,UR,Super,PHY,2018-05-15,2018-03-18,2021-12-24,2021-10-05,Yes,Yes,10295,10865,6118,13695,13865,8718,13093,13855,7507,16493,16855,10107,"Peppy Gals, Universe Survival Saga, Potara, Full Power, Universe 6, Super Saiyan 2, Final Trump Card, Rapid Growth, Time Limit, Accelerated Battle, Power Beyond Super Saiyan, Fused Fighters",11343,https://dbz-dokkanbattle.fandom.com/wiki/Dreadful_Super_Fusion_Super_Saiyan_2_Kefla
Drive to Win Super Saiyan God SS Goku,UR,Super,STR,2018-05-15,2018-03-18,2023-03-23,2023-03-23,Yes,Yes,11786,9934,6537,14786,13334,9137,15087,12610,8068,18087,16010,10668,"Realm of Gods, Pure Saiyans, Future Saga, Time Travelers, Goku's Family, Kamehameha (Category), Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes",11233,https://dbz-dokkanbattle.fandom.com/wiki/Drive_to_Win_Super_Saiyan_God_SS_Goku
Duplicated Ability Duplicate Vegeta (Super Saiyan God SS),UR,Extreme,AGL,2019-11-12,2019-03-18,na,na,No,No,8569,9092,4706,10129,10892,6746,na,na,na,na,na,na,"Transformation Boost, Artificial Life Forms, Power Beyond Super Saiyan",11620,https://dbz-dokkanbattle.fandom.com/wiki/Duplicated_Ability_Duplicate_Vegeta_(Super_Saiyan_God_SS)
Duty to Maintain Peace West Supreme Kai,UR,Super,AGL,2020-10-05,2020-07-31,na,na,No,No,9829,10493,6817,12429,13493,10217,na,na,na,na,na,na,"Realm of Gods, Majin Buu Saga, Potara, Storied Figures",12011,https://dbz-dokkanbattle.fandom.com/wiki/Duty_to_Maintain_Peace_West_Supreme_Kai
Dynamic Flash Super Saiyan 2 Goku (GT),UR,Super,PHY,2019-07-09,2019-01-30,na,na,No,No,10868,10409,6590,14268,13409,9190,na,na,na,na,na,na,"Pure Saiyans, Goku's Family, Super Saiyan 2, Turtle School, GT Heroes, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11645,https://dbz-dokkanbattle.fandom.com/wiki/Dynamic_Flash_Super_Saiyan_2_Goku_(GT)
Earnest Determination Nail,UR,Super,AGL,2020-01-06,2019-07-30,na,na,No,No,13118,9688,7604,15718,12688,11004,na,na,na,na,na,na,"Planet Namek Saga, Namekians, Connected Hope",11747,https://dbz-dokkanbattle.fandom.com/wiki/Earnest_Determination_Nail
Earth's Dominant Elite Yamcha,UR,Super,INT,2023-04-03,2022-11-30,na,na,No,No,16525,12866,8280,19525,15866,11280,na,na,na,na,na,na,"Worthy Rivals, Kamehameha (Category), Earthlings, Turtle School, Saiyan Saga, Earth-Bred Fighters",12580,https://dbz-dokkanbattle.fandom.com/wiki/Earth%27s_Dominant_Elite_Yamcha
Earth-Piercing Light Frieza (Final Form),UR,Extreme,AGL,2019-10-03,2019-05-31,na,na,No,No,11270,10756,7193,13870,13756,10593,na,na,na,na,na,na,"Planet Namek Saga, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Inhuman Deeds, Space-Traveling Warriors, Gifted Warriors, Planetary Destruction, Sworn Enemies, Accelerated Battle",11722,https://dbz-dokkanbattle.fandom.com/wiki/Earth-Piercing_Light_Frieza_(Final_Form)
Earth-Protecting Fraternal Power Gohan (GT) & Goten (GT),UR,Super,TEQ,2021-04-28,2021-04-28,na,na,No,No,14042,9770,7039,16642,13170,10039,na,na,na,na,na,na,"Hybrid Saiyans, Joined Forces, Goku's Family, Siblings' Bond, GT Heroes, Bond of Parent and Child, Earth-Bred Fighters",12204,https://dbz-dokkanbattle.fandom.com/wiki/Earth-Protecting_Fraternal_Power_Gohan_(GT)_%26_Goten_(GT)
Eerie Sense of Despair Frieza (3rd Form),UR,Extreme,INT,2021-08-28,2021-08-28,na,na,No,No,10553,11414,6732,13553,14414,9732,na,na,na,na,na,na,"Planet Namek Saga, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Inhuman Deeds, Space-Traveling Warriors, Gifted Warriors, Planetary Destruction, Sworn Enemies, Accelerated Battle",12247,https://dbz-dokkanbattle.fandom.com/wiki/Eerie_Sense_of_Despair_Frieza_(3rd_Form)
Efforts Made with an Exhausted Body Gotenks (Failure) B,UR,Super,TEQ,2023-04-19,2023-03-18,2023-04-19,2023-03-18,Yes,Yes,9488,8431,7526,11048,10471,9326,12283,10870,9660,13843,12910,11460,"Fusion, Hybrid Saiyans, Majin Buu Saga, Youth, Special Pose, Heavenly Events, Time Limit, Fused Fighters, Earth-Bred Fighters",12635,https://dbz-dokkanbattle.fandom.com/wiki/Efforts_Made_with_an_Exhausted_Body_Gotenks_(Failure)_B
Emperor's Devotion Frieza (Full Power),UR,Extreme,PHY,2016-06-13,2016-03-01,2018-10-08,2018-04-10,Yes,Yes,12050,11500,7675,16810,15700,11315,14728,13406,8530,19488,17606,12170,"Planet Namek Saga, Full Power, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Final Trump Card, Exploding Rage, Inhuman Deeds, Space-Traveling Warriors, Gifted Warriors, Planetary Destruction, Sworn Enemies, Battle of Fate",1425,https://dbz-dokkanbattle.fandom.com/wiki/Emperor%27s_Devotion_Frieza_(Full_Power)
Emperor's True Splendor Golden Frieza (Angel),UR,Extreme,INT,2018-03-15,2017-09-29,2022-11-11,2022-06-07,Yes,Yes,13020,12208,8605,16020,15208,11605,15929,14902,10348,18929,17902,13348,"Resurrected Warriors, Universe Survival Saga, Full Power, Representatives of Universe 7, Transformation Boost, Wicked Bloodline, Otherworld Warriors, Gifted Warriors, Time Limit, Mastered Evolution, Sworn Enemies",11203,https://dbz-dokkanbattle.fandom.com/wiki/Emperor%27s_True_Splendor_Golden_Frieza_(Angel)
Endless Challenge Goku (Youth),UR,Super,STR,2018-12-21,2018-06-22,na,2023-02-17,No,Yes,11956,8740,5994,13756,10780,7554,15584,11283,7611,17384,13323,9171,"Low-Class Warrior, World Tournament, Pure Saiyans, Dragon Ball Seekers, Goku's Family, Youth, DB Saga, Kamehameha (Category), Bond of Master and Disciple, Turtle School, Bond of Friendship, Bond of Parent and Child, Earth-Bred Fighters",11332,https://dbz-dokkanbattle.fandom.com/wiki/Endless_Challenge_Goku_(Youth)
Endless Evolution of the Warrior Race Super Saiyan Broly,UR,Extreme,PHY,2019-02-13,2018-12-26,2023-01-05,2023-01-05,Yes,Yes,14225,13114,7620,17625,16114,10220,18348,16863,9515,21748,19863,12115,"Movie Bosses, Pure Saiyans, Full Power, Transformation Boost, Super Saiyans, Exploding Rage, Miraculous Awakening, Gifted Warriors, Power Beyond Super Saiyan",11600,https://dbz-dokkanbattle.fandom.com/wiki/Endless_Evolution_of_the_Warrior_Race_Super_Saiyan_Broly
Energetic Fighter Pandel,UR,Super,INT,2017-03-30,2016-10-05,2022-02-08,2021-12-16,Yes,Yes,10653,9874,6990,13653,12874,9990,13278,12211,8130,16278,15211,11130,"Peppy Gals, Fusion, Hybrid Saiyans, Crossover, Fused Fighters, Earth-Bred Fighters",1925,https://dbz-dokkanbattle.fandom.com/wiki/Energetic_Fighter_Pandel
